"Letöltés idõpontja","2024.03.24. 22:50"
"ISIN kód","HU0000716402",,,"HU0000730882",,,"HU0000719232",,,"HU0000719240",,,"HU0000726658",,,"HU0000726666",,,"HU0000729678",,,"HU0000721774",,,"HU0000721782",,,"HU0000730890",,,"HU0000716519",,,"HU0000716501",,,"HU0000717145",,,"HU0000718606",,,"HU0000718614",,,"HU0000718622",,,"HU0000731880",,,"HU0000716527",,,"HU0000716535",,,"HU0000717152",,,"HU0000726716",,,"HU0000726724",,,"HU0000716410",,,"HU0000721469",,,"HU0000725478",,,"HU0000717590",,,"HU0000725460",,,"HU0000725452",,,"HU0000722582",,,"HU0000722590",,,"HU0000722608",,,"HU0000720438",,,"HU0000731484",,,"HU0000730858",,,"HU0000720784",,,"HU0000720958",,,"HU0000720966",,,"HU0000720974",,,"HU0000716436",,,"HU0000722467",,,"HU0000722475",,,"HU0000730726",,,"HU0000734504",,,"HU0000708375",,,"HU0000708201",,,"HU0000707146",,,"HU0000721949",,,"HU0000715248",,,"HU0000711296",,,"HU0000710348",,,"HU0000726211",,,"HU0000721931",,,"HU0000701891",,,"HU0000706668",,,"HU0000701842",,,"HU0000709811",,,"HU0000701834",,,"HU0000706635",,,"HU0000706643",,,"HU0000701941",,,"HU0000706650",,,"HU0000701909",,,"HU0000704168",,,"HU0000706627",,,"HU0000717418",,,"HU0000711353",,,"HU0000712666",,,"HU0000722673",,,"HU0000722459",,,"HU0000722681",,,"HU0000702014",,,"HU0000706676",,,"HU0000701883",,,"HU0000706684",,,"HU0000720552",,,"HU000074165",,,"HU0000719927",,,"HU0000734074",,,"HU0000722780",,,"HU0000722657",,,"HU0000725866",,,"HU0000726948",,,"HU0000729454",,,"HU0000730379",,,"HU0000726179",,,"HU0000729165",,,"HU0000727870",,,"HU0000733100",,,"HU0000727888",,,"HU0000729058",,,"HU0000734405",,,"HU0000729850",,,"HU0000731658",,,"HU0000733431",,,"HU0000733217",,,"HU0000730569",,,"HU0000733753",,,"HU0000730585",,,"HU0000730593",,,"HU0000706049",,,"HU0000708714",,,"HU0000706510",,,"HU0000706528",,,"HU0000731401",,,"HU0000731393",,,"HU0000715834",,,"HU0000709241",,,"HU0000713375",,,"HU0000706494",,,"HU0000713367",,,"HU0000713771",,,"HU0000707732",,,"HU0000726641",,
"2024/01/26","11482776947","1,664482","","10317320,85","1,18385","","1184880954","1,517462","","1783278,86","1,238946","","4252710,14","1,229878","","1817502,03","1,15623","","22843207647","1,273306","","3797961963","1,434671","","20208557,03","1,163659","","21993312,43","1,26972","","6091747662","1,519491","","21789628,49","1,17359","","10564117,18","1,344281","","5105713345","2,433613","","7093819,09","1,900782","","7227257130","2,601303","","73165782,96","1,061353","","1980939829","1,499402","","4430056,48","1,159085","","2176612,5","1,317661","","2682288255","1,276646","","3891692,71","1,044821","","8332456721","1,592714","","5428366,67","1,219175","","617683073","1,513562","","5352062337","1,361033","","2255851,82","1,121057","","412983782","1,415104","","3702464564","1,572109","","12690980,7","1,486189","","3657122814","1,660857","","2280584,05","1,273569","","4437789,22","1,023116","","12666910978","1,170128","","7076203,18","1,073612","","2361938750","1,529492","","13216339,9","1,249178","","1032450776","1,6111","","2791644635","1,406029","","783310,43","1,068776","","652766,93","1,231085","","487411707","1,335094","",,,,"3370688723","2,2808704","","189243415","1,698676","","213573397","1,6462229","","4966350216","1,347051","","3094192009","1,856473","","813237861","1,988609","","1247403702","1,63484","","3120092409","1,189504","","2889549071","1,3397","","3012454040","14,3963","","7026555182","17,268344","","2520516153","6,475006","","1712712763","7,265005","","24899115875","6,310917","","6712521468","6,861667","","21731194057","4,934417","","982572590","5,13646","",,,,"89519088851","4,875346","","6309618578","5,012729","",,,,"2822603554","1,413644","","1709008796","1,419621","","489331829","1,438496","","5796862105","1,197512","",,,,"5241980482","1,264397","","3915490743","2,790051","","25654606","3,141204","","14039517751","4,772548","",,,,"1723085665","0,516082","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2655924007","115,953629","0","1355773152","96,578996","0",,,,,,,,,,,,,"2513237464","94,603508","0",,,,,,,,,,,,,,,,,,,,,,"21020987976","348,9","","937456,24","0,010265","0","128118191","0,806957","0","1420450952","1,069264","0","3241944,33","0,010083","0","313266240","1,135804","0","48856,86","0,011795","0","45777950","1,306838","0","0","0,007953","0","510729591","1,700392","0","0","1,093496","0","220254,57","0,008355","0","78210108","0,858459","0","0","0,007938","0"
"2024/01/25","11405351035","1,661589","","10155533,04","1,182366","","1185143054","1,517797","","1783995,74","1,239445","","4220940,09","1,22899","","1815760,99","1,155122","","22832410006","1,272046","","3783397785","1,431021","","20164885,56","1,161226","","21776079,19","1,268429","","6048615058","1,517669","","21756524,19","1,172428","","10537182,66","1,343083","","5108585532","2,432787","","7054079,95","1,900745","","7224613414","2,600351","","72500792,12","1,060393","","1951323079","1,49943","","4426014,15","1,159328","","2160012,57","1,318217","","2660927176","1,266479","","3862698,5","1,037037","","8310559842","1,588529","","5319125,04","1,216256","","616214808","1,509964","","5333422085","1,356801","","2249180,22","1,117742","","411529432","1,41012","","3651071272","1,56163","","12608269,34","1,478593","","3632656839","1,649746","","2290556,32","1,279138","","4464546,54","1,023038","","12803249763","1,169884","","7135142,89","1,073289","","2338514913","1,516073","","13031121,42","1,240177","","1023362206","1,596918","","2765065519","1,391542","","775908,1","1,058676","","656795,49","1,226184","","485104948","1,328775","",,,,"3394423889","2,2972722","","189426787","1,7003219","","213863914","1,6484622","","4989312463","1,349964","","3090503535","1,853781","","812028350","1,985652","","1243135264","1,629279","","3122427806","1,189097","","2881138647","1,33581","","3008598995","14,36191","","7009521070","17,226481","","2534768097","6,521103","","1724844769","7,316466","","24861559401","6,314591","","6716300887","6,865531","","21699075506","4,91512","","977434136","5,116303","",,,,"89239011101","4,875525","","6320826677","5,012872","",,,,"2825121631","1,413575","","1706846044","1,417117","","488435627","1,435949","","5757993724","1,197239","",,,,"5350611946","1,264067","","3864226804","2,753019","","25313403","3,099426","","13949876166","4,742579","",,,,"1719238491","0,51493","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21020198022","348,88","","935882,4","0,010247","0","126997060","0,799895","0","1418921863","1,068105","0","3046439,48","0,010079","0","313195581","1,135548","0","48856,55","0,011795","0","45609765","1,302037","0","0","0,007953","0","508870014","1,694201","0","0","1,093496","0","220174,84","0,008352","0","78366841","0,86018","0","0","0,007938","0"
"2024/01/24","11207428288","1,653052","","10014548,54","1,176476","","1186095840","1,519018","","1809943,68","1,240507","","4159885,81","1,22853","","1809417,35","1,154684","","22973021946","1,271287","","3741824121","1,428946","","20287913,94","1,159816","","21777766,14","1,267149","","5980658117","1,513882","","21955120,83","1,169593","","10492218,28","1,339942","",,,,,,,,,,"71279426,06","1,0598","","1947622184","1,496586","","4444826,98","1,157312","","2156262,97","1,315928","","2656811804","1,26452","","3857571,22","1,03566","","8214113669","1,58792","","5318093,89","1,21602","","922990056","1,511121","","5371922619","1,358373","","2252204,81","1,119245","","126307946","1,410185","","3655093299","1,568749","","12623340,28","1,487005","","3649124564","1,657225","","2284678,99","1,275856","","4471783,88","1,022845","","10660035659","1,169366","","7132134,75","1,072836","","2344338187","1,521672","","12978422,3","1,246179","","1027063039","1,602693","","2767987668","1,391745","","776508,49","1,059496","","658063,01","1,22855","","485867593","1,330864","",,,,"3372638756","2,2825285","","189941779","1,7049446","","220928601","1,6497962","","4987658669","1,348421","","3086611745","1,85314","","811717713","1,984892","","1246719009","1,622406","","3105822573","1,182792","","2873516366","1,331559","","3005118798","14,353044","","7004945291","17,215236","","2516400376","6,479097","","1713673183","7,269079","","24880179844","6,339711","","6742890396","6,892711","","21655359770","4,905253","","975458719","5,105963","",,,,"88769659973","4,874428","","6309674108","5,011703","",,,,"2818436090","1,410128","","1709363907","1,418347","","488801744","1,437186","","5697710682","1,199398","",,,,"5360085701","1,266305","","3862362116","2,741462","","25206444","3,08633","","13880791294","4,719292","",,,,"1709175771","0,511916","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20996599395","348,49","","938156,62","0,010272","0","126229542","0,795061","0","1418478612","1,067772","0","3044908,63","0,010074","0","313058561","1,135051","0","48855,31","0,011795","0","45761021","1,306355","0","0","0,007953","0","508231883","1,692076","0","0","1,093496","0","220147,39","0,008351","0","78772238","0,86463","0","0","0,007938","0"
"2024/01/23","11100064843","1,648176","","9917098,11","1,173007","","1188338673","1,52189","","1813571,26","1,242993","","4137019,3","1,218548","","1775143,54","1,145448","","22792182401","1,269454","","3685745106","1,421071","","19846014,42","1,154032","","21675854,31","1,259914","","5971845364","1,514117","","21785391,39","1,169658","","10438710,37","1,339787","","5116717983","2,43751","","7052518,05","1,904665","","7238288493","2,605273","","70552355,98","1,059164","","1941060457","1,495363","","4440440,59","1,15617","","2153954,8","1,31452","","2635524190","1,254388","","3826651,96","1,027359","","8175707808","1,584676","","5306955,39","1,213474","","921114872","1,508051","","5349958677","1,352819","","2242299,88","1,114322","","125790965","1,404413","","3601042103","1,556115","","12439694,72","1,479034","","3457394628","1,643837","","2274172,42","1,269989","","4482265,12","1,022759","","10660312285","1,169017","","7342988,57","1,072717","","2295375900","1,505642","","12873858,39","1,236424","","1016260332","1,585836","","2733185300","1,374246","","767675,12","1,047443","","650673,37","1,214754","","480354598","1,315763","",,,,"3346849037","2,271862","","190494889","1,7099094","","224951802","1,6523737","","4978995629","1,346357","","3081085246","1,850423","","810498002","1,981909","","1236051910","1,607483","","3103480726","1,181879","","2881441855","1,335247","","2993698143","14,244103","","6951530038","17,083964","","2508274249","6,449694","","1705835490","7,235833","","24890140210","6,353682","","6757620287","6,907768","","21611716334","4,889756","","972363774","5,089763","",,,,"88744321235","4,876172","","6296894382","5,013455","",,,,"2817657510","1,410968","","1706451934","1,415937","","487719171","1,434734","","5667897417","1,200541","",,,,"5365018432","1,26747","","3817694854","2,709444","","24911379","3,050201","","13827608087","4,701442","",,,,"1709883278","0,50986","",,,,"10170475,28","1,122365","0","3260726,69","8,892301","0","13415461,55","1,3042","0","1354116011","142,5085","0","779897106","194,974276","0","5653324,39","1,592486","0",,,,"2282801070","170,080094","0","1409256471","108,52326","0",,,,,,,,,,,,,"9631797,74","0,938525","0","544451342","101,193868","0",,,,"1391990312","121,843956","0",,,,,,,,,,,,,,,,,,,"20993838278","348,45","","938777,7","0,010279","0","125006464","0,787357","0","1417003667","1,066661","0","3042679,22","0,010066","0","312770282","1,134006","0","48858,28","0,011795","0","45828881","1,308292","0","0","0,007953","0","504662370","1,68517","0","0","1,093496","0","220121,51","0,00835","0","78083001","0,857064","0","0","0,007938","0"
"2024/01/22","11100293800","1,653789","","9823397,83","1,177839","","1187601448","1,520946","","1812978,09","1,242586","","4139845,42","1,219534","","1776628,98","1,146406","","22753598587","1,268535","","3678942764","1,420434","","19817850,6","1,153994","","21696366,92","1,261273","","5961350514","1,510745","","21790789,23","1,167585","","10394148,56","1,337247","","5136924162","2,460474","","7093536","1,923486","","7306280447","2,629745","","70277118,42","1,058982","","1944503058","1,492802","","4485221,44","1,154684","","2171000,82","1,312798","","2625424774","1,249582","","3814372,91","1,024063","","8163965811","1,584039","","5307164,69","1,213521","","920720071","1,507404","","5330077465","1,350699","","2239185,55","1,112775","","125591927","1,402191","","3578492054","1,547682","","12388727,91","1,477352","","3438562733","1,634883","","2265606,33","1,266288","","4481895,68","1,022675","","10730290322","1,16858","","7369855,78","1,073164","","2285188372","1,512982","","12915406,2","1,247814","","1021114887","1,593411","","2720827267","1,372579","","768474,53","1,048534","","653236,55","1,219539","","492756454","1,319975","",,,,"3393075231","2,3032613","","191514898","1,7190651","","224799091","1,651252","","4965135452","1,341924","","3066592503","1,850428","","810470365","1,981842","","1229304208","1,598082","","3088971443","1,176372","","2878421775","1,333869","","3018059021","14,315341","","6986047972","17,168794","","2544702070","6,540563","","1729807509","7,337517","","24979086308","6,383655","","6789369065","6,940222","","21600971463","4,887203","","971842800","5,087036","",,,,"88833244000","4,879873","","6303126952","5,017219","",,,,"2812847584","1,408564","","1704189219","1,41406","","493968630","1,432822","","5596997667","1,202674","",,,,"5374373429","1,26968","","3812007619","2,705388","","24873406","3,045552","","13748809719","4,678254","",,,,"1703284376","0,507892","",,,,,,,,,,,,,,,,,,,,,,"15492341560","12847,258126","0",,,,,,,,,,,,,"6558258813","102,472794","0","12884807,8","1,429875","0",,,,,,,,,,,,,"1471121370","116,601121","0","4521735286","114,565795","0","637701605","100,441204","0","10201205872","13190,503794","0","6387107,81","1,017428","0","11417547,46","1,076316","0","20993656320","348,44","","931524,97","0,0102","0","124052918","0,781351","0","1414460161","1,064747","0","3042759,48","0,010066","0","312751427","1,133938","0","48996,51","0,011829","0","45000642","1,284648","0","0","0,007953","0","501979304","1,67621","0","0","1,093496","0","220242,71","0,008354","0","82534232","0,865055","0","0","0,007938","0"
"2024/01/19","11011773341","1,645169","","9657758,14","1,173203","","1187120161","1,52033","","1816981,73","1,24533","","4102113,03","1,209884","","1762896,25","1,137545","","22408639504","1,267516","","3570894804","1,418181","","19755094,13","1,153811","","21825895,22","1,260622","","5981264998","1,508049","","21760056,36","1,168297","","10608719,27","1,338247","","5171220068","2,476901","","7153654,25","1,940946","","7354518234","2,647108","","68946685,52","1,058113","","1947424294","1,490708","","4490074,33","1,155933","","2172893,74","1,313943","","2619623826","1,246821","","3814620,89","1,024129","","8149140794","1,581745","","5309940,63","1,214156","","919333695","1,505135","","5321032121","1,348407","","2239468,9","1,112916","","125370572","1,39972","","3551658209","1,536077","","12279583,2","1,463623","","3252522533","1,622502","","2267834,02","1,267533","","4057732,22","1,022542","","11730773642","1,168166","","7392985,37","1,072733","","2257082629","1,504605","","12788266,21","1,238805","","1015351864","1,584418","","2699070427","1,361604","","762735,93","1,040704","","646043,39","1,20611","","487408089","1,305648","",,,,"3386993080","2,2991327","","191069044","1,7162895","","223796247","1,6510659","","4947882878","1,335705","","3053444789","1,846287","","808567389","1,977188","","1249286015","1,60725","","3082426306","1,17326","","2873257565","1,330581","","3020262146","14,325237","","6990132536","17,178832","","2535166639","6,528169","","1726345732","7,322833","","24796073826","6,37172","","6776286336","6,926849","","21601629939","4,88785","","971931666","5,087501","",,,,"88520651953","4,876365","","6298441529","5,013489","",,,,"2814815182","1,407099","","1702662273","1,412793","","493476151","1,431509","","5518615158","1,200992","",,,,"5366329224","1,26778","","3793302257","2,693033","","24757782","3,031395","","13676953830","4,660558","",,,,"1710774655","0,510125","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2652006847","115,782611","0","1356082549","96,601037","0",,,,,,,,,,,,,"2513172460","94,601061","0",,,,,,,,,,,,,,,,,,,,,,"20988942097","348,36","","929339,39","0,010176","0","124392290","0,783489","0","1418513976","1,065512","0","3046602,08","0,010079","0","312632804","1,133507","0","49185,8","0,011874","0","44774764","1,2782","0","0","0,007953","0","502634011","1,678397","0","0","1,093496","0","220432,94","0,008361","0","91330602","0,862581","0","0","0,007938","0"
"2024/01/18","10984368753","1,644407","","9313062,71","1,173061","","1186217121","1,519173","","1815506,82","1,244319","","3950026,32","1,198536","","1746405,46","1,126904","","22320656408","1,266209","","3546369834","1,411952","","19606906,86","1,149765","","21835528,97","1,255918","","5966969044","1,504163","","21515573,76","1,165512","","10429149","1,33521","","5108229700","2,46138","","7090789,9","1,928759","","7308254146","2,630456","","68174399,05","1,057536","","1938764246","1,4875","","4481089,14","1,15362","","2168453,21","1,311258","","2609648725","1,242073","","3801114,09","1,020503","","8126189752","1,579063","","5280229,77","1,212315","","917782019","1,502594","","5239536968","1,34296","","2158233,36","1,108723","","124876526","1,394204","","3535279832","1,530946","","12206186,74","1,463713","","3241577849","1,617042","","2230912,73","1,246897","","3896463,32","1,022474","","11778718971","1,167894","","7306590,84","1,0728","","2196370840","1,48825","","12486468,81","1,229478","","1004328809","1,567217","","2673567832","1,349309","","757104,15","1,03302","","592524,85","1,199543","","484300444","1,297888","",,,,"3334458573","2,2634716","","191162857","1,7171322","","223846134","1,651434","","4904662225","1,323791","","3047609905","1,84448","","807745985","1,97518","","1236725159","1,591167","","3075357307","1,165648","","2865386924","1,326964","","2983795067","14,146136","","6902493529","16,963452","","2495452259","6,425612","","1699164620","7,207536","","24777062783","6,376387","","6781120153","6,93179","","21445591086","4,853234","","967043486","5,051402","",,,,"88340092678","4,874125","","6293644570","5,011145","",,,,"2805357117","1,403149","","1706283949","1,412711","","493501755","1,431416","","5501805520","1,200687","",,,,"5364787077","1,267416","","3785083440","2,686796","","24699769","3,024291","","13497245159","4,600725","",,,,"1703662390","0,508005","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20988612330","348,36","","928322,3","0,010165","0","132430776","0,782878","0","1415744293","1,063432","0","3045431,1","0,010075","0","312596783","1,133377","0","49190,4","0,011876","0","44561433","1,27211","0","0","0,007953","0","501723788","1,675357","0","0","1,093496","0","220349,55","0,008358","0","91141509","0,860795","0","0","0,007938","0"
"2024/01/17","10922499530","1,640015","","9181465,02","1,170221","","1187032730","1,520218","","1817686,25","1,245813","","3877160,76","1,191465","","1748365,24","1,120322","","22198703977","1,264809","","3503073148","1,406756","","19480527,5","1,146239","","21497518,15","1,251872","","5967614673","1,509441","","21595519,83","1,169978","","10423561,6","1,340256","","5049896789","2,460699","","6990888,09","1,92922","","7306051863","2,629663","","67736540,51","1,056832","","1943259979","1,490949","","4492957,51","1,156676","","2174030,52","1,31463","","2597521100","1,236301","","3784917,85","1,016155","","8106456792","1,5762","","5258229,99","1,210478","","916130993","1,499891","","5153243576","1,336221","","2021955,8","1,103643","","124246242","1,387167","","3475291961","1,516292","","11877331,07","1,452759","","3210471794","1,601525","","2195663,19","1,227195","","3728836,52","1,022304","","11776039792","1,167314","","6893198,36","1,072603","","2166483887","1,470754","","12185941,21","1,217608","","992537599","1,548817","","2657166822","1,341032","","753324,94","1,027863","","589697,39","1,193818","","481793900","1,291171","",,,,"3305540526","2,2439762","","191200894","1,7174738","","223838164","1,6513752","","4871535574","1,314228","","3034229320","1,840065","","805782848","1,970379","","1231444738","1,582511","","3059905186","1,158638","","2863329011","1,324797","","2965904286","14,048254","","6854489280","16,845478","","2470083463","6,369185","","1684183559","7,143989","","24728241913","6,385858","","6791061682","6,941953","","21373940819","4,833334","","963065198","5,030621","",,,,"88214481164","4,871344","","6290002788","5,008245","",,,,"2808550157","1,405248","","1708572256","1,412186","","493220838","1,430874","","5472894036","1,202184","",,,,"5371298158","1,268954","","3755079641","2,664634","","24495370","2,999264","","13418177105","4,574241","",,,,"1704248792","0,508179","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20987681812","348,34","","932848,24","0,010214","0","132579571","0,783758","0","1414801635","1,063605","0","3046178,19","0,010078","0","312443890","1,132823","0","49192,54","0,011876","0","44744809","1,277344","0","0","0,007953","0","498831560","1,665699","0","0","1,093496","0","220318,96","0,008357","0","140124344","0,858464","0","0","0,007938","0"
"2024/01/16","10953014787","1,650415","","9049438,6","1,178018","","1187282198","1,520537","","1818458,71","1,246343","","3888085,33","1,199667","","1753284,46","1,128073","","22161756254","1,264301","","3505872449","1,412803","","19470505,2","1,150777","","20847349,83","1,257755","","5948243518","1,510901","","21619544,99","1,171279","","10435136,73","1,341744","","5070826778","2,484943","","7030134,38","1,948961","","7377851847","2,655506","","66916544,32","1,055509","","1944788792","1,492122","","4497161,39","1,157758","","2175996,91","1,315819","","2611645269","1,243023","","3806219,49","1,021874","","8126834701","1,581776","","5277585,59","1,214934","","919242420","1,504985","","5176722604","1,343035","","2006291,23","1,109485","","124876090","1,394199","","3435910060","1,514751","","11841747,89","1,453544","","3207132460","1,599859","","2198049,39","1,228529","","3728627,75","1,022246","","11816433811","1,167047","","7162526,03","1,073428","","2175340034","1,493617","","12304786,68","1,238488","","1007936700","1,572847","","2678669598","1,351884","","760026,22","1,037007","","598120,91","1,206373","","486713650","1,304356","",,,,"3319014254","2,2537881","","191716634","1,7221065","","223957419","1,652255","","4883269293","1,317121","","3026516672","1,842767","","806936414","1,9732","","1246752508","1,600206","","3068594314","1,161953","","2866368785","1,326208","","3004057316","14,202769","","6929634670","17,030154","","2479806308","6,398047","","1691755304","7,176107","","24713346613","6,390193","","6795541963","6,946532","","21457702271","4,85457","","967283312","5,052655","",,,,"88138142071","4,87245","","6301397219","5,009341","",,,,"2822549508","1,412322","","1711909039","1,414226","","493840606","1,432931","","5453753963","1,2027","",,,,"5373427033","1,269457","","3779623289","2,681812","","24652606","3,018517","","13465643644","4,590991","",,,,"1709446427","0,509729","",,,,"10188632,44","1,124368","0","3256207,29","8,879976","0","13419385,1","1,3046","0","1352118857","142,2983","0","778746854","194,686713","0","5646500,79","1,590564","0",,,,"2278040422","169,725402","0","1409382317","108,532951","0",,,,,,,,,,,,,"9654410,99","0,940728","0","541987154","100,735864","0",,,,"1388368654","121,526944","0",,,,,,,,,,,,,,,,,,,"20985609822","348,31","","938179,13","0,010273","0","134243053","0,793591","0","1415431009","1,064078","0","3048189,81","0,010084","0","312386785","1,132615","0","49192,95","0,011876","0","44998577","1,284589","0","0","0,007953","0","500911696","1,672645","0","0","1,093496","0","220296,52","0,008356","0","140391163","0,860099","0","0","0,007938","0"
"2024/01/15","10929055959","1,652374","","8946644,21","1,179901","","1187440839","1,52074","","1818941,05","1,246673","",,,,,,,"21942567118","1,263983","","3500883197","1,416791","","19518165,61","1,154327","","18893864,1","1,26365","","5858779662","1,508965","","21563167,54","1,169971","","10405737,55","1,340353","","5032329357","2,484761","","7026942,85","1,949113","","7377113317","2,65524","","66660627,47","1,055456","","1919637569","1,490246","","4478121,51","1,156494","","2177228,24","1,31437","","2613973759","1,244131","","3810411,35","1,022999","","8070207063","1,581491","","5255234,92","1,214913","","919047553","1,504666","","5173699280","1,347429","","1947886,01","1,113513","","125268159","1,398576","","3437396900","1,535391","","11957088,22","1,475548","","3250744240","1,621615","","2195429,06","1,227064","","3737393,33","1,022175","","11923705169","1,166749","",,,,"2157782195","1,505748","","12414892,78","1,250423","","1016033521","1,585482","","2665963188","1,346605","","757646,78","1,03376","","600027,22","1,210218","","487380855","1,307335","",,,,"3344377454","2,2713533","","192006070","1,7247064","","224054267","1,6529695","","4865484484","1,311364","","3028990297","1,844573","","807697532","1,975061","","1258155746","1,614874","","3063753324","1,159353","","2872665185","1,325912","","3009856296","14,277299","","6965751255","17,118913","","2489283428","6,448696","","1705087122","7,232658","","24657074803","6,403884","","6809971115","6,961282","","21519217546","4,863658","","967890085","5,062045","",,,,"88187628556","4,872394","","6301280619","5,009242","",,,,"2841797088","1,413342","","1715619603","1,417291","","494788572","1,436027","","5342894193","1,203756","",,,,"5377968417","1,27053","","3787562860","2,687508","","24704289","3,024845","","13389334059","4,569211","",,,,"1719889415","0,512843","",,,,,,,,,,,,,,,,,,,,,,"15472529753","12830,828886","0",,,,,,,,,,,,,"6552911732","102,389246","0","12896006,71","1,431118","0",,,,,,,,,,,,,"1468956158","116,429507","0","4520016906","114,522257","0","637759670","100,450349","0","10183658891","13167,814955","0","6390749,66","1,018008","0","11412047,51","1,075797","0","20992503590","348,42","","942235,8","0,010317","0","135562901","0,794968","0","1414807926","1,063609","0","3048860,65","0,010087","0","312336303","1,132432","0","49194,43","0,011876","0","45349407","1,294604","0","0","0,007953","0","504053736","1,683137","0","0","1,093496","0","220274,94","0,008355","0","139905917","0,857126","0","0","0,007938","0"
"2024/01/12","10880773112","1,647807","","8873055,72","1,176869","","1186253711","1,51922","","1817277,84","1,245533","","3892148,54","1,200921","","1746348,85","1,129343","","21944524605","1,263146","","3486935817","1,417372","","19386582,39","1,154596","","18862297,04","1,263899","","5817050570","1,504354","","21500082,74","1,166548","","10375539,45","1,336463","","4977164671","2,479104","","6986201,99","1,94492","","7359790998","2,649005","","66388683,59","1,054624","","1915331845","1,486917","","4468684,66","1,154057","","2172626,1","1,311592","","2605441728","1,240071","","3798619,1","1,019833","","8053777375","1,578271","","5226332,23","1,212624","","917142631","1,501548","","5174853473","1,347729","","1941953,84","1,114123","","125287120","1,398788","","3425610175","1,536229","","11488552,09","1,477931","","3252282888","1,622382","","2194564,1","1,226581","","3659157,3","1,02206","","11977394662","1,166309","","6840930,94","1,0736","","2175502789","1,530714","","12577499,49","1,273193","","1032785557","1,611623","","2662380311","1,344795","","757074,86","1,03298","","600779,27","1,211735","","487766232","1,308369","",,,,"3332426585","2,2659469","","195645027","1,7286502","","223676041","1,6505397","","4871183459","1,311484","","3030971168","1,845789","","808140458","1,976145","","1255474975","1,611536","","3069911548","1,158967","","2879778157","1,326758","","3016436563","14,336698","","6993986000","17,188303","","2485336271","6,432289","","1700567817","7,213488","","24548401165","6,413726","","6820045776","6,971581","","21508350992","4,862454","","967610715","5,060584","",,,,"87930478866","4,871173","","6299546291","5,007863","",,,,"2841627471","1,412779","","1717017266","1,417377","","494644492","1,436085","","5316796517","1,204363","",,,,"5380151140","1,271045","","3801011032","2,693795","","24760053","3,031673","","13353932105","4,55889","",,,,"1722774882","0,513704","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2648095465","115,611846","0","1356391600","96,623052","0",,,,,,,,,,,,,"2513004724","94,594747","0",,,,,,,,,,,,,,,,,,,,,,"20989559563","348,37","","941657,13","0,010311","0","136008136","0,797579","0","1413769360","1,062829","0","3043834,25","0,010086","0","312281126","1,132232","0","49186,48","0,011875","0","45203177","1,29043","0","0","0,007953","0","503918911","1,682687","0","0","1,093496","0","220255,63","0,008355","0","141208118","0,856174","0","0","0,007938","0"
